ID,year,ttulo_de_inscripcin ,sinopsis ,sinopsis_idioma_original ,idioma,seleccin,duracin ,pas_de_origen ,region,universidad,categora ,gnero,regin,sitio_web ,facebook ,otra_red_social,contacto,trailer ,formato ,relacin_de_aspecto ,color,director ,escritor ,productor ,elenco ,otros_crditos ,,distribuidor ,imagen_principal
1801,2018,Memoirs of Saira and Salim,¿Qué sucede cuando una familia vuelve a visitar una casa que abandonaron hace dieciséis años?. Saira y Salim no tuvieron opción. ¿Serán capaces de volver al lugar de su infancia a pesar de los recuerdos traumáticos que habitan en ella? ¿cómo se vuelve a un espacio poblado de recuerdos felices y amargos al mismo tiempo?,What happens when a family revisit a house they abandoned sixteen years ago? It wasn’t a decision where Saira & Salim had a choice. Would you be able to relive those happy memories & conversations without the bad ones overpowering your emotions? ,,,,India,Asia y Medio Oriente,National Institute of Design,Documental experimental,,Asia,,,,,,Digital,,Color,Eshwayra Grover,N/A,,,,,,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/saira_and_salim_catalog.jpg
1802,2018,The Dance of Tomorrow,"Un ejercicio audiovisual elaborado a partir de found footage o metraje recogido de filmes de los cuarenta, cincuenta y sesenta. Su objetivo es intentar un retrato del “progreso” como una danza arrítmica y abrumadora.","Esta película experimenta con imágenes de los años cuarenta, cincuenta y sesenta principalmente para retratar el concepto de progreso, y sus diferentes facetas, como una danza arrítmica y abrumadora.",N/A,2018,00:04:32,México,América Latina,Universidad de las Américas Puebla,Documental experimental,"Experimental, Short, Student",,N/A,N/A,N/A,,N/A,Digital,,Color,Sara Acevedo ,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/the_dance_of_tomorrow_catalog.jpg
1803,2018,Las dos Mitades,"Aristóteles, Cleopatra y Darwin consideraban a las lombrices seres esenciales, casi criaturas sagradas. Pero lo único que aprendemos acerca de las lombrices es que si las cortas por la mitad, se regeneran. Esta historia desmitifica esa creencia. Esta es una historia acerca de Gwenn Joyaux, una chica que fue cortada en dos cuando nació, pero al igual que las lombrices, solo una mitad sobrevivió.","Aristotle, Cleopatra and Darwin considered earthworms essential, even sacred creatures. But the only thing we learn about earthworms it's that if someone cut them in half, they will regenerate. This story demystifies that belief. This is a story about someone who was cut in two when she was born, but only one half made it through. The half with the head survived, as earthworms do. ",Esapñol,2018,00:03:40,Argentina,América Latina,University of Edingburgh,Documental experimental,"Documentary, Experimental, Short, Student",,http://shiroiushi.com/,N/A,https://twitter.com/shiroiushi,,https://vimeo.com/210158343,Digital,16:9,Color,Gwenn Joyaux,,,,Sound: Haendel Gabriel Guerrero Solis; Music: Silvia Inés Vives,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/the-two-halves_catalog.jpg
1804,2018,Las del Diente,"Las chicas son raras. Los bebés son raros. Los cuerpos son extra raros. ""Las del diente"" es una película sobre ahora, un momento en que las mujeres están cansadas de elegir entre tener hijos y sus carreras. Días en los que se celebran anomalías en el sistema reproductivo en lugar de estigmatizarlas.
","Girls are weird. Babies are weird. Bodies are extra weird. “Las del diente” is a film about now, a time when women are tired to choose between having kids and their careers. Days in which anomalies in the reproductive system are celebrated instead of stigmatized.
",Español,2018,00:05:28,España,Europa,California Institute of the Arts,Documental experimental,"Animation, Documentary, Experimental, Short, Student",,http://www.anaperezlopez.com,N/A,N/A,,https://vimeo.com/268638521,Digital,16:9,Color,Ana Pérez López,,,"Angela Stempl, Aitziber Olaskoaga , Natalia Lassalle-Morillo ",SOUND:  Laura Sofía Pérez; MUSIC: Paola Escobar,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/las_del_diente_catalog.jpg
1805,2018,Post Mortem Salon,"La práctica del embalsamamiento y el culto la muerte forman parte de las tradiciones más antiguas que las civilizaciones solían practicar para honrar a sus difuntos. Con el paso del tiempo, reprimimos esta tradición convirtiendo la práctica funeraria en un servicio más del catálogo de la vida contemporánea.  ","The practice of embalming and the cult to death are one of the oldest traditions that early civilizations used to practice to honor their deceased. With the passage of time, we rejected our tradition, turning the practice into a taboo.",Español,2018,00:09:52,México,América Latina,Asociación Mexicana de Cineastas Independientes,Documental experimental,"Documentary, Short, Student",,N/A,https://www.facebook.com/docusalonpostmortem,N/A,,https://www.youtube.com/watch?v=rJv4cAPVpvw,Digital,16:9,Color,Eduardo Franco Bautista,,"Gabriel Martín del Campo, Ricardo Fey",,"Cinematography: Gabriel Martín del Campo; Sound Design: Ricardo Fey; Color Grading: Rubén Castillo Pescina; Music: Ramiro Antonio Rojas Cruz, Ricardo Fey",,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/post_mortem_salon_catalog.jpg
1806,2018,El polvo no quiere salir del Esqueleto,"Cuatro habitantes del estado de Río de Janeiro son parte de las mudanzas que están ocurriendo ahora en la comunidad de Metrô-Mangueira y nos cuentan las historias atrapadas dentro de sus derruidos muros. Estas narraciones van surgiendo del encuentro con las imágenes de la remoción de la comunidad de “Esqueleto”, en ese mismo lugar, cinco décadas antes. Un video para reflexionar sobre los rincones marginados de las grandes ciudades, las memorias que revelan y aquellas que permanecen enterradas en sus escombros. ","Four inhabitants of the state of Rio de Janeiro are part of the removals that are happening now in the Metrô-Mangueira community and tell us stories. These narratives arise from the encounter with the images of the removal of the Esqueleto community, in that same place, five decades earlier.",Portugues,2018,00:20:00,Brasíl,América Latina,Universidad Federal de Rio de Janeiro,Documental experimental,Documentary,,https://maxwillamorais.wixsite.com/portfolio/a-poeira-nao-quer-sair-do-esqueleto,N/A,N/A,,N/A,Digital and DCP,16:9,Color,"Daniel Santiso, Max William Morais",,"Lorran Dias,","Maria Dalva, Elizangela Roberta, Luiz Oliveira, Walbi Ferreira, Fuscão Preto",,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/elpolvo_catalog.jpg
1807,2018,Life in Gray,"Un documental falso sobre la crisis social, política y económica en curso en Brasíl, donde el gobierno elimina el folclórico colorido de Río de Janeiro tornando la ciudad blanco y negro.","Um falso documentário sobre a crise social, política e econômica no Brasíl, onde o governo corta as cores do Rio de Janeiro, transformando a cidade em preto e branco.",Portugues,2018,00:15:00,Brasíl,América Latina,Estácio,Ficción experimental,"Short, Student",,N/A,N/A,N/A,,N/A,Digital,16:9,Blanco y Negro y Color,Leonardo Martinelli,,"Jéssica Paola,","Wagner Moura, Glenn Greenwald, Gregório Duvivier, Petra Costa, Roxanne Peguet, Marcelo Freixo, Roney Villela, Flávio Bolsonaro, Lindbergh Farias, Ricardo Brandão, Ciara Ní Longaigh, Etiene Magalhães, Claudio Vieira, Marielle Franco",Editor: Pedro de Aquino,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/life_in_gray_catalog.jpg
1808,2018,If the World Spinned Backwards,"En un mundo distópico donde todas las cosas suceden a la inversa, un hombre deja un mensaje a su amada.","In a dystopic world where all things happen in reverse, a man leaves a message to his beloved.",Portugues,2018,00:05:00,Brasíl,América Latina,Estácio,Ficción experimental,"Documentary, Experimental, Short, Student, Other",,N/A,N/A,N/A,,N/A,Digital,16:9,Color,Leonardo Martinelli,Arthur Valverde,,,,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/if_the_world_spinned_backwards_catalog.jpg
1809,2018,FLAG,Victor Teixera nos lleva a través de un viaje por los colores de la bandera LGBTQ creando un collage de imágenes coleccionadas de de películas icónicas del cine queer.,A trip through LGBTQ film in all of its colors. Vitor Texiera creates a collage of images he collected.,N/A,2018,00:03:00,Brasíl,América Latina,Universidad Federal Fluminense,Documental experimental,"Experimental, Student",,N/A,https://www.facebook.com/flagcurta,N/A,,N/A,Digital,16:9,Color,Vítor Teixeira,,,,Editor: Vítor Teixeira,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/FLAG_catalog.jpg
1810,2018,The Commonplace,"La estructura y la rutina son las que mantienen en equilibrio nuestras vidas en la cotidianidad. Sin esta rutina, ¿la mente entra en caos? Mediante la documentación y la observación, los autores se proponen explorar este concepto de rutina y locura.","Structure and routine are what hold our daily lives together. Without this routine, does the mind go into chaos? Through the use of observational documentary, we have aimed to explore this concept of routine and madness.",N/A,2018,00:04:46,Reino Unido,Europa,Edinburgh Napier University ,Documental experimental,"Documentary, Experimental, Short, Student",,N/A,N/A,N/A,,N/A,"Linear PCM, ProRes 422 (HQ)",1920x1080,Color,Katie Mallinder,,,,Editor: Isidora Charmbila; Cinematographer: Johnny Dupre; Sound Designer: Sarah Tainsh,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/the_commonplace_catalog.jpg
